,areaNo,sido,si,gridX,gridY,lng,lat
107,4680000000,전라남도,장흥군,59,64,126.90910833333334,34.678525
108,4681000000,전라남도,강진군,57,63,126.76919722222222,34.63891111111111
109,4682000000,전라남도,해남군,54,61,126.60128888888887,34.570436111111114
110,4683000000,전라남도,영암군,56,66,126.69861944444445,34.79698888888889
111,4684000000,전라남도,무안군,52,71,126.4837,34.98736944444445
112,4686000000,전라남도,함평군,52,72,126.51861944444444,35.06274444444444
113,4687000000,전라남도,영광군,52,77,126.51408611111113,35.274166666666666
114,4688000000,전라남도,장성군,57,77,126.786975,35.29881111111111
115,4689000000,전라남도,완도군,57,56,126.75709722222224,34.307852777777775
116,4690000000,전라남도,진도군,48,59,126.26554444444444,34.48375
117,4691000000,전라남도,신안군,50,66,126.38173055555556,34.789811111111106
118,4711100000,경상북도,포항시,102,94,129.36166666666665,36.00568611111111
119,4713000000,경상북도,경주시,100,91,129.22702222222222,35.85316944444445
120,4715000000,경상북도,김천시,80,96,128.1158,36.136897222222224
121,4717000000,경상북도,안동시,91,106,128.73162222222223,36.565463888888885
122,4719000000,경상북도,구미시,84,96,128.3467777777778,36.11655
123,4721000000,경상북도,영주시,89,111,128.62634444444444,36.80293611111111
124,4723000000,경상북도,영천시,95,93,128.940775,35.97005277777778
125,4725000000,경상북도,상주시,81,102,128.1612638888889,36.40796944444444
126,4728000000,경상북도,문경시,81,106,128.18901944444443,36.58363055555556
127,4729000000,경상북도,경산시,91,90,128.74346388888887,35.82208888888889
128,4772000000,경상북도,군위군,88,99,128.57507777777778,36.23999722222222
129,4773000000,경상북도,의성군,90,101,128.69936388888888,36.34975833333333
130,4775000000,경상북도,청송군,96,103,129.0594,36.43329166666666
131,4776000000,경상북도,영양군,97,108,129.1146222222222,36.664275
132,4777000000,경상북도,영덕군,102,103,129.36835555555555,36.412102777777775
133,4782000000,경상북도,청도군,91,86,128.7362,35.64431111111111
134,4783000000,경상북도,고령군,83,87,128.26502222222223,35.72298611111111
135,4784000000,경상북도,성주군,83,91,128.28515277777777,35.91621111111111
136,4790000000,경상북도,예천군,86,107,128.4550222222222,36.65495
137,4785000000,경상북도,칠곡군,85,93,128.40379722222224,35.99254722222222
138,4792000000,경상북도,봉화군,90,113,128.734875,36.89026111111111
139,4793000000,경상북도,울진군,102,115,129.4027861111111,36.99018611111112
140,4794000000,경상북도,울릉군,127,127,130.9037888888889,37.480575
141,4812100000,경상남도,창원시,90,77,128.6401544,35.2540033
142,4817000000,경상남도,진주시,81,75,128.11,35.177033333333334
143,4822000000,경상남도,통영시,87,68,128.43527777777777,34.851258333333334
144,4824000000,경상남도,사천시,80,71,128.0667777777778,35.000283333333336
145,4827000000,경상남도,밀양시,92,83,128.74894444444442,35.50077777777778
146,4825000000,경상남도,김해시,95,77,128.89166666666665,35.22550555555556
147,4831000000,경상남도,거제시,90,69,128.62335555555558,34.87735833333333
148,4833000000,경상남도,양산시,97,79,129.03941111111112,35.33192777777778
149,4873000000,경상남도,함안군,86,77,128.40870833333335,35.26940555555556
150,4872000000,경상남도,의령군,83,78,128.26382222222222,35.319119444444446
151,4874000000,경상남도,창녕군,87,83,128.49453333333332,35.54153611111111
152,4882000000,경상남도,고성군,85,71,128.32454166666668,34.9699
153,4884000000,경상남도,남해군,77,68,127.89446666666667,34.834558333333334
154,4885000000,경상남도,하동군,74,73,127.75343055555555,35.06420277777777
155,4887000000,경상남도,함양군,74,82,127.72741944444444,35.517469444444444
156,4886000000,경상남도,산청군,76,80,127.87561944444444,35.41249166666667
157,4888000000,경상남도,거창군,77,86,127.91165555555555,35.683625
158,4889000000,경상남도,합천군,81,84,128.16793055555556,35.56361666666666
159,5011000000,제주특별자치도,제주시,53,38,126.53320833333332,33.49631111111111
160,5013000000,제주특별자치도,서귀포시,52,33,126.51255555555556,33.25235
